Algorithm,Heuristic/Depth Limit,Depth,Nodes Generated,Effective Branching Factor
A*(h2),Manhattan,20,440,1.3557282127391894
A*(h1),Misplaced Titles,20,5002,1.5309365243661777
IDS,N/A,20,34503,1.6861369394602268
A*(h2),Manhattan,24,1785,1.366107657942189
A*(h1),Misplaced Titles,24,22115,1.5171503536233453
IDS,N/A,28,204723,1.5476919466007015
A*(h2),Manhattan,20,555,1.371559489131345
A*(h1),Misplaced Titles,20,4665,1.5256066826918522
IDS,N/A,30,324313,1.5265070413561115
A*(h2),Manhattan,14,202,1.4610596766655415
A*(h1),Misplaced Titles,14,441,1.5448576602501738
IDS,N/A,18,14372,1.7020533874251653
A*(h2),Manhattan,27,7727,1.39315809942654
A*(h1),Misplaced Titles,27,76217,1.516410333351154
IDS,N/A,39,1035482,1.4263773190178792
A*(h2),Manhattan,27,8702,1.3993031691917805
A*(h1),Misplaced Titles,23,17004,1.527344495931309
IDS,N/A,31,310477,1.5037036011042515
A*(h2),Manhattan,22,770,1.3527082036807117
A*(h1),Misplaced Titles,22,8897,1.5118582435587273
IDS,N/A,36,709333,1.453863440385835
A*(h2),Manhattan,21,1353,1.4096439082454726
A*(h1),Misplaced Titles,19,3832,1.5438366338297185
IDS,N/A,27,169814,1.5620780215997772
A*(h2),Manhattan,27,2255,1.3310384855728268
A*(h1),Misplaced Titles,27,71531,1.5128507505497997
IDS,N/A,31,520689,1.5289939075964725
A*(h2),Manhattan,22,1079,1.3736136918653727
A*(h1),Misplaced Titles,22,9946,1.5195370489718758
IDS,N/A,28,235881,1.5555425364842668
A*(h2),Manhattan,21,515,1.346274679002053
A*(h1),Misplaced Titles,21,7612,1.5304997930870623
IDS,N/A,23,116969,1.6609283703339224
A*(h2),Manhattan,15,162,1.403786304174707
A*(h1),Misplaced Titles,15,632,1.5371437086148885
IDS,N/A,25,213099,1.6335907156069274
A*(h2),Manhattan,25,2656,1.3707843036149758
A*(h1),Misplaced Titles,25,36671,1.5225547206012748
IDS,N/A,33,513027,1.4894795750191043
A*(h2),Manhattan,22,1008,1.3693703913478248
A*(h1),Misplaced Titles,22,13598,1.5412930814235055
IDS,N/A,24,235699,1.6743576824916284
A*(h2),Manhattan,25,2376,1.3646895231801388
A*(h1),Misplaced Titles,25,37683,1.5242135524606732
IDS,N/A,35,574175,1.4606431363176378
A*(h2),Manhattan,16,274,1.4202323807635395
A*(h1),Misplaced Titles,16,964,1.5364018258950216
IDS,N/A,24,78635,1.5994990830966427
A*(h2),Manhattan,19,374,1.3658855006104398
A*(h1),Misplaced Titles,19,3368,1.5333848294750954
IDS,N/A,29,322975,1.5487144184090447
A*(h2),Manhattan,22,1123,1.376111503392041
A*(h1),Misplaced Titles,22,9623,1.5172584593276597
IDS,N/A,24,85681,1.6052284758674389
A*(h2),Manhattan,16,304,1.4294849882669967
A*(h1),Misplaced Titles,16,941,1.5340847455308084
IDS,N/A,16,11410,1.7930002609810516
A*(h2),Manhattan,26,4288,1.3794377499387533
A*(h1),Misplaced Titles,26,42837,1.5071167149079665
IDS,N/A,42,1097459,1.3925755606646237
A*(h2),Manhattan,21,579,1.3538050260004177
A*(h1),Misplaced Titles,21,8030,1.5344008679484407
IDS,N/A,23,60637,1.614154561254134
A*(h2),Manhattan,23,1217,1.361893253895609
A*(h1),Misplaced Titles,23,17181,1.5280323217898464
IDS,N/A,35,534860,1.4576860694926388
A*(h2),Manhattan,23,2183,1.396935163104196
A*(h1),Misplaced Titles,23,20700,1.5404616273595504
IDS,N/A,23,251851,1.7172452900534192
A*(h2),Manhattan,22,940,1.3650299338631513
A*(h1),Misplaced Titles,22,9252,1.5145493797473377
IDS,N/A,28,246567,1.5580059266570037
A*(h2),Manhattan,27,7832,1.3938547089424158
A*(h1),Misplaced Titles,27,75636,1.515980622519549
IDS,N/A,29,287453,1.5425045115781422
A*(h2),Manhattan,21,545,1.3499093186089866
A*(h1),Misplaced Titles,21,8193,1.5358698902857948
IDS,N/A,33,555280,1.4930560861698863
A*(h2),Manhattan,20,331,1.3365690482764767
A*(h1),Misplaced Titles,20,4939,1.5299666044771811
IDS,N/A,36,889924,1.4630521386499042
A*(h2),Manhattan,20,487,1.362625299352045
A*(h1),Misplaced Titles,20,5380,1.536523170701324
IDS,N/A,28,232067,1.5546371788849938
A*(h2),Manhattan,22,355,1.3059287127888775
A*(h1),Misplaced Titles,22,12844,1.537301689256621
IDS,N/A,30,428046,1.5406938468291558
A*(h2),Manhattan,23,3396,1.4240339193822602
A*(h1),Misplaced Titles,23,19319,1.5358441872418558
IDS,N/A,35,631966,1.4646508437033967
A*(h2),Manhattan,24,1989,1.3722812073842456
A*(h1),Misplaced Titles,24,29707,1.5359218422345955
IDS,N/A,40,1240925,1.4201808045855675
